key,en,ru,pt-br,tr-tr,zh-cn,es-es,de,fr-fr,jp,ko,pl,notes
mat_aa_pandorium,Pandorium,Пандориум,Pandório,Pandoram,潘多拉魔药,,,,,,,derived from the mythological 'Pandora's Box'
mat_aa_chaotic_pandorium,Chaotic Pandorium,Хаотический Пандориум,Pandório caótico,Kaotik Pandoram,混沌潘多拉魔药,,,,,,,
mat_aa_unstable_pandorium,Unstable Pandorium,Нестабильный Пандориум,Pandório instável,Dengesiz Pandoram,不稳潘多拉魔药,,,,,,,
mat_aa_pop_rocks,Pop Rocks,Шипучка,Pop Rocks,Patlayan Şekerler,爆石花,,,,,,,
mat_aa_condensed_gravity,Condensed Gravity,Сжатая гравитация,Gravidade condensada,Yoğunlaştırılmış Yer Çekimi,浓缩引力,,,,,,,
mat_aa_cloning_solution,Cloning Solution,Раствор для клонирования,Sólução de clonagem,Kopyalama Çözeltisi,克隆溶液,,,,,,,'Solution' as in 'Substance'
mat_aa_compost,Compost,Компост,Adubo,Organik Gübre,堆肥,,,,,,,
mat_aa_strange_matter,Strange matter,Странная материя,Matéria estranha,Tuhaf madde,奇异物质,,,,,,,
mat_aa_bloom_solid,Bloomium Growth,Росток Блумиума,Crescimento brotânico,Filizlenme Büymü,绽放基质生长物,,,,,,,
mat_aa_bloom_roof,Bloomium Growth,Росток Блумиума,Crescimento brotânico,Filizlenme Büymü,绽放基质生长物,,,,,,,
mat_aa_bloom_roof_inert,Bloomium Growth,Росток Блумиума,Crescimento brotânico,Filizlenme Büymü,绽放基质生长物,,,,,,,
mat_aa_bloom_roof_dead,Bloomium Growth,Росток Блумиума,Crescimento brotânico,Filizlenme Büymü,绽放基质生长物,,,,,,,
mat_aa_bloom_roof_plant,Bloomium Vine,Лоза Блумиума,Videira brotânica,Filizlenme Sarmaşmı,绽放基质藤蔓,,,,,,,
mat_aa_bloom_roof_plant_dead,Bloomium Vine (Dead),Мёртвая лоза Блумиума,Videira brotânica morta,Filizlenme Sarmaşmı (Cansız),失活的绽放基质藤蔓,,,,,,,
mat_aa_bloomium,Bloomium,Блумиум,Brotânio,Filizlenm,绽放基质,,,,,,,
mat_aa_bloomium_gas,Bloomium Spores,Споры Блумиума,Esporos brotânicos,Filizlenme Spormları,绽放基质孢子,,,,,,,
mat_aa_divine_slime,Divine Slime,Божественная слизь,Gosma divina,Kutsal Balçık,神圣史莱姆,,,,,,,
mat_aa_divine_magma,Divine Magma,Божественная магма,Magma divina,Kutsal Magma,神圣熔岩,,,,,,,
mat_aa_shrinkium,Shrinkium,,,,缩小魔药,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Spells!
,,,,,,,,,,,,
action_repultium_trail,Repultium Trail,След отталкиватия,Rastro de repúlsio,İticm İzi,排斥魔药轨迹,,,,,,,
action_desc_aa_repultium_trail,Gives a projectile a trail of repultium,Снаряд оставляет след из отталкиватия,O projétil produz um rastro de repúlsio,Fırlatıcılara iticim izi verir,给予投射物排斥魔药的轨迹,,,,,,,
action_aa_alchemy_nerf_darts,Nerf Darts,Стрелы из нерф-бластера,Dardos Nerf,Nerf Dartları,Nerf飞镖,,,,,,,Nerf' is a brand for toy-guns with foam darts
action_desc_aa_alchemy_nerf_darts,A collection of nerf darts for shooting purposes.,Набор стрел для стрельбы из нерф-бластера.,Uma coleção de dardos Nerf para atirar.,Atış amaçlı nerf dartları,用于射击的一批Nerf飞镖。,,,,,,,
action_aa_hungryslime_shot,Hungering Shot,Выстрел голода,Gosma sedenta,Açlık Vuruşu,饥饿一击,,,,,,,
action_desc_aa_hungryslime_shot,Makes enemies vomit up something nasty,Заставляет врагов изрыгнуть нечто мерзкое,Faz com que os inimigos vomitem algo nojento,Düşmanların iğrenç bir şey kusmasını sağlar,让敌人吐出恶心的东西,,,,,,,
action_aa_potion_to_gas,Potions to Gas,Зелья в газ,Das poções ao gás,İksirleri Gaza Çevirme,药水气化,,,,,,,
action_desc_aa_potion_to_gas,Causes nearby potions to evaporate into gas,Превращает ближайшие зелья в газ,Faz com que as poções ao seu redor evaporem em gás,Çevredeki iksirlerin gaza buharlaşmasını sağlar,将附近的药水蒸发为气体,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Status Effects!
,,,,,,,,,,,,
status_aa_hit_self,Angry Limb,Злая конечность,Membro Furioso,Öfkeli Uzuv,愤怒的手臂,,,,,,,
status_desc_aa_hit_self,Stop hitting yourself!,Перестань бить себя!,Pare de se bater!,Kendine vurmayı bırak!,别打自己了！,,,,,,,
status_aa_collapse,Collapsing,Схлопывание,Em colapso,Çökme,坍缩,,,,,,,
status_desc_aa_collapse,You are collapsing in on yourself,Вы схлопываетесь сами в себя,Você está em colapso consigo mesmo,Kendi içine çökmeye başlıyorsun,你正在自我坍缩。,,,,,,,
status_aa_static_charge,Static charge,Статический заряд,Carga estática,Statik elektrik,静电荷,,,,,,,
status_desc_aa_static_charge,You are electrically charged,Вы заряжены электричеством,Você está eletricamente carregado,Elektrik yüklüsün,你带有电荷,,,,,,,
status_aa_sinking,Sinking,Погружение,Afundando,Batma,沉陷,,,,,,,
status_desc_aa_sinking,You are being grabbed,Вас что-то хватает,Você está sendo sugado,Aşağı çekiliyorsun,有东西正在拖着你,,,,,,,
status_aa_repulsion,Repulsion,Отторжение,Repulsão,İtme,排斥,,,,,,,
status_desc_aa_repulsion,A mysterious force struggling to be rid of you,Таинственная сила пытается избавиться от вас,Uma força misteriosa está tentando se livrar de você,Gizemli bir güç senden kurtulmaya çalışıyor,某种试图排斥你的神秘力量,,,,,,,
status_aa_hungry_vomit,Slime Vomit,Слизистая рвота,Vômito gosmento,,史莱姆呕吐,,,,,,,
status_desc_aa_hungry_vomit,You feel something crawling back up,"Вы чувствуете, как что-то ползёт обратно",Você sente algo querendo voltar do seu estômago,,你感觉喉咙里有东西爬出来,,,,,,,crawling back up your throat
status_aa_love_potion,LOVE ME,ЛЮБИ МЕНЯ,ME AME,BENİ SEV,爱我,,,,,,,LOVE ME' and 'PLEASE DON'T GO' should give off a 'needy' or 'desperate' vibe
status_desc_aa_love_potion,PLEASE DON'T GO,"ПОЖАЛУЙСТА, НЕ УХОДИ","POR FAVOR, NÃO SE VÁ",N'OLUR GİTME,求求你不要走,,,,,,,
status_aa_path,Infinite wealth?,Бесконечное богатство?,Riqueza infinita?,Sınırsız varlık?,无尽财富？,,,,,,,
status_desc_aa_path,Reap what you have sown,"Что посеешь, то и пожнешь",Colha o que plantou,Ektiğini biç,自食其果,,,,,,,
status_aa_icefire,Freezing Inferno,Замораживающий ад,Inferno congelante,Dondurucu Alevler,冰冷狱火,,,,,,,
status_desc_aa_icefire,Nearby fire burns into frozen vapour,Огонь поблизости превращается в замороженный пар,O fogo ao seu redor se transforma em um vapor congelante,Çevredeki alevler donmuş buharlara dönüşür,附近的火变为冰冻蒸汽,,,,,,,
status_aa_gravity,Gravitational Anomaly,Гравитационная аномалия,Anomalia gravitacional,Yer Çekimi Bozukluğu,引力异常,,,,,,,
status_desc_aa_gravity,Nearby objects fly towards you,Предметы поблизости летят к вам,Objetos ao seu redor são atraídos para você,Çevredeki nesneler sana doğru uçar,附近的物体向你飞来,,,,,,,
status_aa_clone,Cloning,Клонирование,Clonagem,Kopyalama,克隆,,,,,,,
status_desc_aa_clone,You are being cloned!,Вас клонируют!,Você está sendo clonado!,Kopyalanıyorsun!,你正在被克隆！,,,,,,,
status_aa_vomit_spells,Magical Meal,Волшебная трапеза,Refeição mágica,Sihirli Öğün,魔法餐点,,,,,,,
status_desc_aa_vomit_spells,This was a terrible snack,Это была ужасная закуска,Isso foi um péssimo lanche,Bu berbat bir atıştırmalıktı,真是糟糕的小吃,,,,,,,
status_aa_vomit_spells_chaotic,Chaotic Meal,Хаотичная трапеза,Refeição caótica,Kaotik Öğün,混沌餐点,,,,,,,
status_desc_aa_vomit_spells_chaotic,This was a terrible meal...,Это была ужасная трапеза...,Isso foi uma péssima refeição...,Bu berbat bir öğündü...,真是糟糕的一餐...,,,,,,,
status_aa_vomit_spells_unstable,Unstable Meal,Нестабильная трапеза,Refeição instável,Dengesiz Öğün,不稳餐点,,,,,,,
status_desc_aa_vomit_spells_unstable,This was a terrible idea!,Это была ужасная идея!,Isso foi uma péssima ideia!,Bu berbat bir fikirdi!,真是糟糕的主意！,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Items!
,,,,,,,,,,,,
item_aa_vial,Vial,,Frasco,Şişe,小瓶,,,,,,,
item_vial_with_material,Vial of $0,Флакон $0,Frasco de $0,$0 Şişe,$0小瓶,,,,,,,
itemdesc_vial_with_material,A glass vial containing $0\nUseful for throwing!,"Стеклянный флакон, содержащий $0",Um frasco de vidro contendo $0,İçinde $0 olan cam bir şişe,含有$0的玻璃小瓶\n适合投掷！,,,,,,,
nerf_wand,Nerf Gun,,Arminha Nerf,Nerf Silahı,Nerf枪,,,,,,,Nerf' as in the brand for toy-guns with foam darts
nerf_dart,Nerf Dart,,Dardo Nerf,Nerf Dartı,Nerf飞镖,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Misc!
,,,,,,,,,,,,
animal_random_spell,Pandorium,Пандориум,Pandório,Pandoram,潘多拉魔药,,,,,,,these are the names used for the death message when the player dies to Pandorium
animal_random_spell chaotic,Chaotic Pandorium,Хаотический Пандориум,Pandório caótico,Kaotik Pandoram,混沌潘多拉魔药,,,,,,,
animal_random spell unstable,Unstable Pandorium,Нестабильный Пандориум,Pandório instável,Dengesiz Pandoram,不稳潘多拉魔药,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Chemical Curiosities!
,,,,,,,,,,,,
,,,,,,,,,,,,Materials!
,,,,,,,,,,,,
mat_cc_hydroxide,Hydroxide,Гидроксид,Hidróxido,Hidroksit,氢氧化物,,,,,,,
mat_cc_ice_hydroxide,Frozen Hydroxide,,Hidróxido congelado,Donmuş Hidroksit,冻结氢氧化物,,,,,,,
mat_cc_acidic_water,Acidic Water,Кислотная вода,Água acídica,Asidik Su,酸性水,,,,,,,
mat_cc_devouring_moss,Devouring Moss,Пожирающий мох,Musgo devorador,Yok Edici Yosun,吞没苔藓,,,,,,,as in Moss that Devours
mat_cc_ashen_moss,Ashen Moss,,Musgo cinzento,Solgun Yosun,灰色苔藓,,,,,,,
mat_cc_hydroxide_gas,Flammable Gas,Горючий газ,Gás inflamável,Yanıcı Gaz,可燃气体,,,,,,,
mat_cc_veilium,Veilium,Вуалиум,Véulio,Peçelem,遮眼魔药,,,,,,,as in to 'Veil' one's eyes
mat_cc_sparkling_liquid,Sparkling Liquid,Сверкающая жидкость,Líquido cintilante,Parıldayan Sıvı,闪烁液体,,,,,,,
mat_cc_slicing_liquid,Slicing Liquid,Режущая жидкость,Líquido cortante,Doğrayan Sıvı,切割液体,,,,,,,
mat_cc_glittering_liquid,Glittering Liquid,Блестящая жидкость,Líquido brilhante,Işıltılı Sıvı,光耀液体,,,,,,,
mat_cc_blasting_powder,Blasting Powder,Взрывчатый порох,Pó detonante,Patlama Tozu,爆破粉尘,,,,,,,
mat_cc_methane,Methane Gas,Метан,Metano,Metan Gazı,甲烷气体,,,,,,,
mat_cc_carbon_dioxide,Carbon Dioxide,Углекислый газ,Dióxido de carbono,Karbon Dioksit,二氧化碳,,,,,,,
mat_cc_ectospasm,Ectospasm,Трясун,Ectoespasmo,Ektospazm,痉挛灵质,,,,,,,name is pun based off the words Ectoplasm and Spasm
mat_cc_kindling,Kindling,Растопка,Faíscante,Çıra,引火物,,,,,,,
mat_cc_deceleratium,Deceleratium,Замедлятий,Desacelerácio,Yavaşm,减速魔药,,,,,,,like Decelerate (antithesis of Acceleratium)
mat_cc_heftium,Heftium,Утяжелятий,Pesádio,Ağırm,沉重魔药,,,,,,,like Hefty (antithesis of Levitatium)
mat_cc_stillium,Stillium,Застыватий,Imóvio,Durgunum,静止魔药,,,,,,,like Stillness (antithesis of Hastium)
mat_cc_metamorphine,Metamorphine,Метаморфин,Metamorfina,Dönüşm,质变魔药,,,,,,,Metamorph' as in like 'Metamorphosis' or to transform
mat_cc_unstable_metamorphine,Unstable Metamorphine,Нестабильный метаморфин,Metamorfina instável,Dengesiz Dönüşm,不稳质变魔药,,,,,,,
mat_cc_explode_player,Agitine,Агитин,Agitínio,Kışkırtm,激发魔药,,,,,,,As in to 'Agitate'
mat_cc_alchemy_powder,Alchemy Powder,Алхимический порошок,Pó de alquimia,Simya Tozu,炼金粉末,,,,,,,
mat_cc_metastasizium,Metastasizium,Метастазий,Metastisísio,Metastazm,扩散魔药,,,,,,,like 'Metastasis' or similar to a cancer in its growth
mat_cc_nullium,Nullium,Нуллиум,Núlio,Etkisizm,虚无魔药,,,,,,,like 'nullify'
mat_cc_liberum_magicas,Liberum Magicas,Либерум Маgикас,Liberum Magicas,Liberum Magicas,自由魔力,,,,,,,"latin for 'Free Magic', free as in to be free or unshackled"
mat_cc_thunder_powder,Thunder Powder,Грозовой порошок,Pó de trovão,Yıldırım Tozu,雷霆粉末,,,,,,,
mat_cc_health_tonic,Health Tonic,Тоник здоровья,Tônico saudável,Can Toniği,生命补剂,,,,,,,
mat_cc_grease,Grease,Смазка,Graxa,Gres Yağı,油脂,,,,,,,
mat_cc_dormant_crystal,Dormant Crystal,Спящий кристалл,Cristal inativo,Pasif Kristal,休眠晶体,,,,,,,
mat_cc_dormant_crystal_molten,Liquid Crystal,Жидкий кристалл,Cristal líquido,Sıvı Kristal,液态晶体,,,,,,,
mat_cc_uranium,Uranium,Уран,Urânio,Uranyum,铀,,,,,,,
mat_cc_uranium_excited,Excited Uranium,,Urânio excitado,Uyarılmış Uranyum,激发态铀,,,,,,,
mat_cc_radioactive_waste,Radioactive Waste,Радиоактивные отходы,Lixo radioativo,Radyoaktif Atık,放射性废料,,,,,,,
mat_cc_morphine,Morphine,Морфий,Morfina,Morfin,吗啡,,,,,,,
mat_cc_antimatter_gas,Anti-Matter,Антиматерия,Antimatéria,Karşıt Madde,反物质,,,,,,,
mat_cc_antimatter_liquid,Anti-Matter,Антиматерия,Antimatéria,Karşıt Madde,反物质,,,,,,,
mat_cc_antimatter_powder,Dormant Anti-Matter,Спящая антиматерия,Antimatéria inativa,Pasif Karşıt Madde,休眠反物质,,,,,,,
mat_cc_frozen_meat,Frozen Meat,Замороженное мясо,Carne congelada,Donmuş Et,冻肉,,,,,,,
mat_cc_cobalt,Cobalt,Кобальт,Cobalto,Kobalt,钴,,,,,,,
mat_cc_cobalt_molten,Molten Cobalt,Расплавленный кобальт,Cobalto derretido,Sıvı Kobalt,熔融钴,,,,,,,
mat_cc_iron,Iron,Железо,Ferro,Demir,铁,,,,,,,
mat_cc_iron_molten,Molten Iron,Расплавленное железо,Ferro derretido,Sıvı Demir,熔融铁,,,,,,,
mat_cc_preskite,Preskite,Прескит,Presquiteo,Preskit,普瑞斯克特金属,,,,,,,this material is made up; Squirrelly said 'it sounded cool in my head'. Its name bears a resemblence to the real metal 'Perovskite'
mat_cc_preskite_molten,Molten Preskite,Расплавленный прескит,Presquiteo derretido,Sıvı Preskit,熔融普瑞斯克特金属,,,,,,,
mat_cc_ferrine,Ferrine,Феррин,Ferrina,Ferin,铁质流体,,,,,,,derived from Iron's 'Ferri' prefix. such as in Ferrite or its periodic name being FE
mat_cc_cobaline,Cobaline,Кобалин,Cobalina,Kobalin,钴质流体,,,,,,,like 'Cobalt'
mat_cc_crystal_box2d,Dormant Crystal,Спящий кристалл,Cristal inativo,Pasif Kristal,休眠晶体,,,,,,,
mat_cc_persistine,Persistine,Персистин,Persistíneo,Israrm,耐久魔药,,,,,,,like to Persist
mat_cc_lichtenberg_wood,Lichtenberg Wood,Древесина Лихтенберга,Madeira Lichtenberg,Lichtenberg Odunu,电击木,,,,,,,
mat_cc_lichtenberg_coal,Burnt Wood,Обожжённая древесина,Madeira queimada,Yanık Odun,烧焦的木头,,,,,,,
mat_cc_warp_powder,Warp Powder,Искажающий порошок,Pó distorcedor,Çekiş Tozu,跃迁粉末,,,,,,,
mat_cc_deezium,Deez...,Вот эти...,Esas...,Deez...,阿米诺...,,,,,,,
mat_cc_warp_sickness,Warp Powder,Искажающий порошок,Pó distorcedor,Çekiş Tozu,跃迁粉末,,,,,,,
mat_cc_paradox_powder,Paradox Powder,,Pó paradoxal,Paradoks Tozu,悖论粉末,,,,,,,
mat_cc_dull_fungus,Dull Fungus,,Fungo parado,Donuk Mantar,虚无真菌,,,,,,,Dull having connotations of numbness or emptiness- somewhat contrasting 'Weird' fungus
mat_cc_glitchium,Glitchium,,Glitchio,Kusurm,故障魔药,,,,,,,like Glitch
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Spells!
,,,,,,,,,,,,
action_cc_sea_of_methane,Sea of Methane,Море метана,Mar de Metano,Metan Havuzu,甲烷之海,,,,,,,
action_desc_cc_sea_of_methane,Summons a large body of methane gas,Призывает огромное количество метана,Uma enorme quantidade de metano é evocada,Büyük ölçüde metan gazı salgılar,在施法者下方召唤一大片甲烷气体,,,,,,,
action_cc_wispy_flame,Wispy Flame,Языки пламени,Chama Tênue,Zayıf Alev,缕状火焰,,,,,,,
action_desc_cc_wispy_flame,Call forth tongues of flame,Призывает языки пламени,Evoque línguas de chama,Dört alev alazını çağır,召唤火舌,,,,,,,
action_cc_local_shift,Local Shift,Локальный сдвиг,Transformação Local,Yerel Değişim,小范围转换,,,,,,,Basically a Fungal Shift but in a localised area
action_desc_cc_local_shift,Change the world. But not everywhere...,Изменяет мир. Но не везде...,Mude o mundo. Mas não em todo canto.,Dünyayı değiştir. Ancak her yeri değil...,转换这个世界。但并非所有地方...,,,,,,,
action_cc_metal_seasoning,Chunk of Metal,Кусок металла,Pedaço de metal,Metal Kütlesi,一块金属,,,,,,,
action_desc_cc_metal_seasoning,Summon a pile of metal powder,Призывает кучу металлического порошка,Evoque uma pilha de pó de metal,Bir metal tozu kütlesi çağır,召唤一堆金属粉末,,,,,,,
action_cc_cloud_crystal,Crystal Cloud,Кристаллическое облако,Nuvem de cristal,Kristal Bulutu,水晶云,,,,,,,
action_desc_cc_cloud_crystal,Creates a rain of liquid crystals,Создаёт дождь из жидких кристаллов,Cria uma chuva de cristais líquidos,Sıvı kristal yağmuru oluşturur,创造一片液态水晶云,,,,,,,
action_cc_cloud_slice,Slicing Cloud,,,,,,,,,,,
action_desc_cc_cloud_slice,Creates a rain of a certain silvery serrated solution. Wait what?,,,,,,,,,,,
action_cc_cloud_sparkling,Sparkling Cloud,Сверкающее облако,Nuvem cintilante,Parıldayan Bulut,闪烁之云,,,,,,,
action_desc_cc_cloud_sparkling,Rain hell on all of them.,Пролей на них адский дождь.,Faça chover o inferno em todos eles.,Onlara cehennemi yağdır,淋死他们。,,,,,,,
action_cc_grease_blast,Explosion of Grease,Взрыв смазки,Explosão de graxa,Gres Yağı Patlaması,油脂爆炸,,,,,,,
action_desc_cc_grease_blast,A greasy explosion!,Смачный взрыв!,Uma explosão graxante!,Yağlı bir patlama!,充满油脂的爆炸！,,,,,,,
action_cc_radioactive_shot,Radioactive shot,Радиоактивный выстрел,Disparo radioativo,Radyoaktif Atış,放射性一击,,,,,,,
action_desc_cc_radioactive_shot,Makes a projectile emit radioactive sparks,Снаряд испускает радиоактивные искры,O projétil emite faíscas radioativas,Fırlatıcıların radyoaktif kıvılcımlar atmasını sağlar,使投射物发出放射性的闪光,,,,,,,
action_cc_uraniumball,Chunk of Uranium,Кусок урана,Pedaço de urânio,Uranyum Kütlesi,一块铀,,,,,,,
action_desc_cc_uraniumball,A spherical 6.2-kilogram (14 lb) subcritical mass of uranium-235,"Сферическая подкритическая масса урана-235 весом 6,2 кг (14 фунтов)",Uma massa (6.2kg) esférica de urânio-235 em estado subcrítico,6.2 kg'lık küresel kritik altı uranyum-235 kütlesi,一块6.2千克(14磅)的亚临界铀-235球体,,,,,,,
action_cc_antimatter_field_enemy,Personal Antimatter Field,Личное поле антиматерии,Campo de antimatéria pessoal,Kişisel Karşıt Madde Alanı,反物质场附身,,,,,,,
action_desc_cc_antimatter_field_enemy,Causes enemies to tear the world apart around them,Заставляет врагов разрывать мир вокруг себя,Faz com que os inimigos destruam o mundo ao seu redor,Düşmanların çevrelerini yok etmesine sebep olur,使敌人撕裂其周围的大地,,,,,,,
action_cc_sea_of_lightning,Sea of Lightning Powder,Море грозового порошка,Mar de pó de raio,Yıldırım Tozu Havuzu,雷霆粉末之海,,,,,,,
action_desc_cc_sea_of_lightning,Summons a large body of highly conductive powder,Призывает огромное количество электропроводящего порошка,Uma enorme quantidade de pó altamente condutivo é evocada,Büyük ölçüde yüksek iletkenli toz çağırır,召唤一大片高度导电的粉末,,,,,,,
action_cc_gunpowder_buff,Gunpowder Enhancer,Усилитель пороха,Intensificador de pólvora,Barut Yoğunlaştırıcı,火药增幅器,,,,,,,
action_desc_cc_gunpowder_buff,Makes nearby gunpowder more dangerous,Делает ближайший порох опаснее,Converte a polvóra dos arredores para uma versão mais perigosa,Çevredeki barutları daha tehlikeli yapar,使附近的火药更加危险,,,,,,,
action_cc_fire_to_grease,Fire Enhancer,Усилитель огня,Intesificador de fogo,Ateş Yoğunlaştırıcı,火焰增幅器,,,,,,,
action_desc_cc_fire_to_grease,Causes nearby fires to erupt violently,Заставляет ближайший огонь яростно вспыхнуть,Converte o fogo dos arredores para uma erupção violenta,Çevredeki ateşlerin şiddetle alevlenmesini sağlar,使附近的火焰猛烈爆发,,,,,,,
action_cc_gunpowder_cloud,Gunpowder Cloud,Пороховое облако,Nuvem de pólvora,Barut Bulutu,火药云,,,,,,,
action_desc_cc_gunpowder_cloud,???,???,???,???,???,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Status Effects!
,,,,,,,,,,,,
status_cc_ingestion_methane,Methane Poisoning,Отравление метаном,Envenenamento por metano,Methan Zehirlenmesi,甲烷中毒,,,,,,,
status_desc_cc_ingestion_methane,Everything is hazy.,Всё расплывается.,Tudo está nublado.,Her şey bulanıklaşıyor.,眼前一片模糊。,,,,,,,
status_cc_blindness,Blinded,Ослепление,Cegueira,Kör,失明,,,,,,,
status_desc_cc_blindness,Your eyes don't seem to be helping much.,"Кажется, от глаз мало толку.",Seus olhos não parecem ajudar muito.,Gözlerin pek bir işe yaramıyor gibi.,你的眼睛好像没什么作用了。,,,,,,,
status_cc_twitchy,Twitchy,Нервный тик,Nervoso,Gergin,抽搐,,,,,,,same as vanilla effect
status_cc_movement_slower_2x,Slowed,Замедление,Lentidão,Yavaşladın,减速,,,,,,,
status_desc_cc_movement_slower_2x,You feel sluggish,Вы чувствуете вялость,Você se sente lento,Hâlsiz hissediyorsun,你感觉自己慢吞吞,,,,,,,
status_cc_levitation_slower,Heavy,Тяжесть,Pesado,Ağır,沉重,,,,,,,
status_desc_cc_levitation_slower,It feels as if your bones are made of lead,"Кажется, ваши кости сделаны из свинца",Você sente como se seus ossos fossem feitos de chumbo,Kemiklerin çok ağır hissettiriyor,你感觉自己的骨头像是铅做的一样,,,,,,,
status_cc_exploding,Combusting,Самовозгорание,Em combustão,Alevlenme,燃烧,,,,,,,
status_desc_cc_exploding,Spontaneous combustion.,Самопроизвольное возгорание.,Combustão espontânea.,Anlık alevlenme,自燃。,,,,,,,
status_cc_exploding_era_nova,The Blazing Sun,,,,,,,,,,,
